#FOODID	VVKAJ101	VVKAJ108	VVKAJ110	VVKAJ106	VVKAJ103	VVKAJ102	VVKAJ104	VVKAJ109	VVKAJ105	VVKAJ107	taxonomy
Milk cows fluid whole	183	488	195.2	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_cows_fluid_whole
Milk cows fluid 2 fat	0	854	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_cows_fluid_2_fat
Milk cows fluid 1 fat	61	0	0	244	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_cows_fluid_1_fat
Milk soy ready to drink not babys	0	0	0	0	256.2	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_soy_ready_to_drink_not_babys
Yogurt plain whole milk	367.5	0	0	0	0	0	30.625	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_plain_whole_milk
Yogurt plain lowfat milk	0	0	122.5	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_plain_lowfat_milk
Yogurt fruit variety whole milk	0	0	0	122.5	0	0	113	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_fruit_variety_whole_milk
Cream heavy fluid	0	0	0	0	0	0	0	45.12	0	0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;Cream_heavy_fluid
Cheese Brie	0	0	0	0	17	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_Brie
Cheese Mozzarella part skim	0	28.35	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_Mozzarella_part_skim
Cheese Swiss	0	0	0	0	0	0	42.525	28.35	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_Swiss
Cheese American	0	0	0	0	0	0	42.525	21	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_American
Cheese nuggets or pieces breaded baked or fried	0	0	0	0	0	0	0	396	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_nuggets_or_pieces_breaded_baked_or_fried
Corned beef cooked NS as to fat eaten	0	0	0	0	0	0	0	84	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;Corned_beef_cooked_NS_as_to_fat_eaten
Beef jerky	0	19.2	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;Beef_jerky
Pork chop stewed lean only eaten	0	0	56.7	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;Pork_chop_stewed_lean_only_eaten
Pork chop smoked or cured cooked lean only eaten	0	0	0	0	170.1	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;Pork_chop_smoked_or_cured_cooked_lean_only_eaten
Pork bacon NS as to fresh smoked or cured cooked	0	8	8	0	0	8	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;Pork_bacon_NS_as_to_fresh_smoked_or_cured_cooked
Pork spareribs barbecued with sauce lean and fat eaten	0	0	0	0	0	0	0	160	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;Pork_spareribs_barbecued_with_sauce_lean_and_fat_eaten
Chicken NS as to part and cooking method NS as to skin eaten	0	0	0	0	0	0	60	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;Chicken_NS_as_to_part_and_cooking_method_NS_as_to_skin_eaten
Frankfurter wiener or hot dog NFS	0	0	0	0	0	0	114	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Organ_meats_sausages_and_lunchmeats;Frankfurter_wiener_or_hot_dog_NFS
Pork sausage	0	0	20	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Organ_meats_sausages_and_lunchmeats;Pork_sausage
Fish NS as to type raw	0	0	0	0	226.8	0	0	0	113.4	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Fish_NS_as_to_type_raw
Fish NS as to type steamed	0	0	0	0	0	0	0	0	113.4	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Fish_NS_as_to_type_steamed
Mackerel baked or broiled fat not added in cooking	0	0	113.4	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Mackerel_baked_or_broiled_fat_not_added_in_cooking
Salmon cooked NS as to cooking method	0	136	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Salmon_cooked_NS_as_to_cooking_method
Salmon baked or broiled made with oil	0	0	226.8	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Salmon_baked_or_broiled_made_with_oil
Salmon baked or broiled made with butter	0	226.8	0	0	340.2	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Salmon_baked_or_broiled_made_with_butter
Trout baked or broiled made with butter	0	226.8	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Trout_baked_or_broiled_made_with_butter
Trout smoked	0	0	0	0	0	0	0	0	56.7	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Trout_smoked
Tuna fresh baked or broiled fat added in cooking	0	0	0	0	0	0	0	0	170.1	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Tuna_fresh_baked_or_broiled_fat_added_in_cooking
Octopus steamed	0	0	0	0	0	0	0	0	56.7	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Octopus_steamed
Clams steamed or boiled	0	0	0	0	0	0	0	0	62.5	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Clams_steamed_or_boiled
Scallops baked or broiled fat added in cooking	0	0	0	0	0	0	0	0	283.5	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Scallops_baked_or_broiled_fat_added_in_cooking
Shrimp baked or broiled made with oil	0	0	0	0	0	0	0	0	10	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;Shrimp_baked_or_broiled_made_with_oil
Meat loaf made with beef with tomato based sauce	0	0	0	0	0	0	283.5	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;Meat_loaf_made_with_beef_with_tomato_based_sauce
Beef shish kabob with vegetables excluding potatoes	0	202	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;Beef_shish_kabob_with_vegetables_excluding_potatoes
Beef and vegetables excluding carrots broccoli and dark green leafy no potatoes soy based sauce mixture 	0	0	108.5	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;Beef_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_
Chicken or turkey and vegetables excluding carrots broccoli and dark green leafy no potatoes no sauce mixture 	0	0	0	0	243	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;Chicken_or_turkey_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_no_sauce_mixture_
Chicken or turkey and vegetables including carrots broccoli andor dark green leafy no potatoes soy based sauce mixture 	0	0	108.5	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;Chicken_or_turkey_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_
Chicken or turkey and vegetables excluding carrots broccoli and dark green leafy no potatoes soy based sauce mixture 	0	0	0	0	325.5	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;Chicken_or_turkey_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_
Chicken or turkey broth bouillon or consomme	0	0	180	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Frozen_and_shelfstable_plate_meals_soups_and_gravies;Chicken_or_turkey_broth_bouillon_or_consomme
Seafood soup with potatoes and vegetables including carrots broccoli andor dark green leafy 	0	0	0	0	0	0	0	0	488	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Frozen_and_shelfstable_plate_meals_soups_and_gravies;Seafood_soup_with_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_
Egg whole boiled or poached	0	88	0	0	0	0	0	0	88	0	L1_Eggs;L2_Eggs;Egg_whole_boiled_or_poached
Egg whole fried with oil	0	138	40	0	0	0	0	0	0	0	L1_Eggs;L2_Eggs;Egg_whole_fried_with_oil
Egg salad made with mayonnaise	111	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Egg_mixtures;Egg_salad_made_with_mayonnaise
Egg omelet or scrambled egg made with oil	0	0	61	0	0	0	0	0	54	0	L1_Eggs;L2_Egg_mixtures;Egg_omelet_or_scrambled_egg_made_with_oil
Egg omelet or scrambled egg made with butter	0	0	0	0	122	0	0	183	0	0	L1_Eggs;L2_Egg_mixtures;Egg_omelet_or_scrambled_egg_made_with_butter
