"","User_Day_OccNo","UserName","RecallNo","Occ_No","FoodAmt","KCAL","PROT","TFAT","CARB","MOIS","ALC","CAFF","THEO","SUGR","FIBE","CALC","IRON","MAGN","PHOS","POTA","SODI","ZINC","COPP","SELE","VC","VB1","VB2","NIAC","VB6","FOLA","FA","FF","FDFE","VB12","VARA","RET","BCAR","ACAR","CRYP","LYCO","LZ","ATOC","VK","CHOLE","SFAT","S040","S060","S080","S100","S120","S140","S160","S180","MFAT","M161","M181","M201","M221","PFAT","P182","P183","P184","P204","P205","P225","P226","VITD","CHOLN","VITE_ADD","B12_ADD","F_TOTAL","F_CITMLB","F_OTHER","F_JUICE","V_TOTAL","V_DRKGR","V_REDOR_TOTAL","V_REDOR_TOMATO","V_REDOR_OTHER","V_STARCHY_TOTAL","V_STARCHY_POTATO","V_STARCHY_OTHER","V_OTHER","V_LEGUMES","G_TOTAL","G_WHOLE","G_REFINED","PF_TOTAL","PF_MPS_TOTAL","PF_MEAT","PF_CUREDMEAT","PF_ORGAN","PF_POULT","PF_SEAFD_HI","PF_SEAFD_LOW","PF_EGGS","PF_SOY","PF_NUTSDS","PF_LEGUMES","D_TOTAL","D_MILK","D_YOGURT","D_CHEESE","OILS","SOLID_FATS","ADD_SUGARS","A_DRINKS","Occ_Name","Occ_In_Words"
"1","VVKAJ101_1_1","VVKAJ101",1,1,510.6,626.267,9.8052,12.2944,127.39081,358.43001,0,26.784,0,62.54329,12.7685,52.046,18.27292,107.055,345.879,424.01,308.813,2.75189,0.473117,43.9521,2.723,0.75952,0.872435,10.508905,1.100635,206.785,179.92,26.865,333.665,3.016,449.17,447.2,32.78,0,1.04,0,209.46,1.2424,18.442,0,1.092205,0,0,0,0,0.00208,0.00208,0.834455,0.216755,6.121635,0.00509,6.075055,0.03744,0.00104,3.498815,3.215855,0.28296,0,0,0,0,0,1.976,36.0993,0,3.016,0.65995,0.65995,0,0,0,0,0,0,0,0,0,0,0,0,2.7456,2.652,0.0936,0.7384,0,0,0,0,0,0,0,0,0,0.7384,0,0,0,0,0,6.0736,0,12.53787,0,1,"Breakfast"
"2","VVKAJ101_1_2","VVKAJ101",1,2,252,0,0,0,0,251.748,0,0,0,0,0,7.56,0,2.52,0,0,10.08,0.0252,0.0252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Just a drink"
"3","VVKAJ101_1_3","VVKAJ101",1,3,249.75,366.0425,15.501125,29.887,10.448575,190.259325,0,0,0,4.002825,4.18575,149.2175,3.9632,95.68,270.885,666.8725,491.0725,2.26895,0.2304475,31.6495,55.9875,0.24965,0.6627575,1.249625,0.3829275,178.535,0,178.535,178.535,1.0101,467.92,134.31,3994.325,1.44,18.07,13.35,7889.3575,3.043125,363.2695,340.77,6.0335775,0,0,0.00222,0.00222,0.002887,0.059557,4.1898925,1.573217,8.75455,0.30875,8.33569,0.08417,0.00777,12.79726,11.248205,1.3573275,0,0.143857,0.00444,0,0.03441,1.998,293.95225,0,0,0,0,0,0,1.732125,0.9912,0,0,0,0,0,0,0.740925,0,0,0,0,2.3733,0,0,0,0,0,0,0,1.8093,0,0.564,0,0,0,0,0,18.2068,4.8507,0,0,3,"Lunch"
"4","VVKAJ101_1_4","VVKAJ101",1,4,651.65,539.1745,26.30972,3.04656,112.74497,502.14747,0,0,0,68.43886,11.69125,289.237,2.89618,195.6315,497.93,2013.7475,104.417,2.550075,0.5184195,11.84765,70.7256,0.4174145,1.010579,3.330598,1.656011,182.521,0,182.521,182.521,0.84672,255.4215,30.24,2660.8075,93.3965,21.168,0,5640.164,1.630535,234.5353,9.072,1.338515,0.039312,0.027216,0.021168,0.0326,0.037984,0.1298365,0.834111,0.190963,0.4705195,0.050816,0.4136555,0,0,0.526016,0.3288785,0.1971375,0,0,0,0,0,0.9072,113.8396,0,0,3.337895,0,3.035495,0.3024,0.63504,0.63504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78624,0.21168,0,0,0,0.78624,0,0,6,"Snack"
"5","VVKAJ101_1_5","VVKAJ101",1,5,738.5,783.42,28.54115,37.74925,87.21295,577.03445,0,0,0,9.2235,23.98,391.785,6.1497,188.5,672.76,1510.77,1384.28,4.1804,0.6888,26.466,79.596,0.455895,0.425535,3.6388,0.69025,151.525,0,151.525,151.525,0.2992,89.155,61.435,316.635,11.88,15.84,0,534.6,3.93525,58.4045,26.125,10.23176,0.27159,0.083435,0.094215,0.195525,0.14311,1.055285,5.58987,2.149125,12.79421,0.37466,12.17128,0.113355,0,12.13652,10.40853,1.688445,0,0.01408,0,0,0,0,128.6725,0,0,0.0396,0,0,0.0396,1.2892,0.0396,0,0,0,0,0,0,1.2496,1.25675,2.6928,0,2.6928,0,0,0,0,0,0,0,0,0,0,0,4.93515,0.5544,0,0,0.5544,22.484,8.9452,0,0,4,"Dinner"
"6","VVKAJ101_2_1","VVKAJ101",2,1,509.5,337.65,11.35115,7.59715,56.959,428.4122,0,76.8,0,27.929,5.4225,262.23,1.62895,101.77,334.69,669.565,262.88,1.837,0.24152,19.576,81.25,0.504685,0.888815,5.55684,0.63755,121.865,85.07,36.795,181.555,2.2335,103.43,82.35,225.435,7,28.875,353.5,140.035,0.5364,3.862,18.3,3.92879,0.13725,0.13725,0.13725,0.13725,0.149775,0.550495,1.9581,0.69824,1.86664,0.004975,1.83186,0,0,0.84686,0.66571,0.18115,0,0,0,0,0,2.379,47.7865,0,1.41,0.63,0.30625,0.32375,0,0,0,0,0,0,0,0,0,0,0,1.1797,0.5969,0.5828,0,0,0,0,0,0,0,0,0,0,0,0,0.7503,0.7503,0,0,0,4.8312,2.2748,0,1,"Breakfast"
"7","VVKAJ101_2_2","VVKAJ101",2,2,415,177.49,6.5252,7.6775,21.9877,376.929,0,0,0,3.0018,5.839,58.95,1.2925,48.5,118.69,292.67,179.65,1.0189,0.2305,14.278,4.039,0.12235,0.10816,2.42758,0.21551,59.7,0,59.7,59.7,0,2.8,0,25.19,9.6,11.2,0,146.62,0.9879,8.985,0,1.22402,0,0,4e-04,0,0,0,1.0484,0.1717,4.24525,0.28661,3.93918,0.01507,0,1.52863,1.38408,0.13775,0,0,0,0,0,0,15.118,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0.276,0,1.4703,1.17,0.3003,0.0312,0,0,0,0,0,0,0,0,0,0.0312,0,0,0,0,0,6.3404,0,0.6123,0,3,"Lunch"
"8","VVKAJ101_2_3","VVKAJ101",2,3,155,139.5,3.951,6.483,18.363,124.1235,0,0,0,6.7135,5.425,78.45,1.5255,30.5,123.9,472.2,248,0.897,0.23075,3.165,9.285,0.18455,0.11475,1.65875,0.20935,62,0,62,62,0,1003.4,0,9956.35,4172.4,2.8,1.2,307.9,1.1875,17.905,0,0.88475,0,0,0,7e-04,0,0.0098,0.6363,0.20225,2.9785,0.0395,2.9229,0.01225,0,2.1928,2.1365,0.0535,0,0,0,0,0,0,20.535,0,0,0.0105,0,0,0.0105,0.9635,0,0.9635,0,0.9635,0,0,0,0,0.105,0,0,0,0.427,0,0,0,0,0,0,0,0,0,0.427,0.42,0,0,0,0,4.5815,0.1015,0,0,6,"Snack"
"9","VVKAJ101_2_4","VVKAJ101",2,4,304.15,258.9555,13.3072575,15.67026125,21.26046125,250.78037,0,0,0,10.0331775,4.357625,196.582125,2.68865125,83.82325,214.114,601.139875,356.022625,1.60213125,0.62272625,21.4038375,53.1687,0.172241,0.17776425,2.490752375,0.324471875,126.30425,0,126.30425,126.30425,0,303.246125,0,3257.701,732.408125,38.776875,819.92625,1849.6535,1.91635625,145.3800125,0,1.997883625,0,0,0.002529375,0.006140625,0.015825625,0.021866,1.3124915,0.460506125,6.231672375,0.032835,6.10529275,0.083755875,0.00346125,5.674047,4.949530625,0.719668625,0,0.001315,0,0,0,0,58.6621875,0,0,0,0,0,0,1.48799375,0.484,0.2136,0.0486,0.165,0,0,0,0.79039375,0,0,0,0,2.85853125,0,0,0,0,0,0,0,0,1.92,0.93853125,0,0,0,0,0,8.18085375,0,1.06596,0,4,"Dinner"
"10","VVKAJ101_2_5","VVKAJ101",2,5,288,0,0,0,0,286.7904,0,0,0,0,0,23.04,0.2304,8.64,2.88,57.6,11.52,0.1152,0,0,0,0,0,0.1152,0,2.88,0,2.88,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Just a drink"
